Experiment,Litter,Genotype1,Channel,Marker,ab.2
042017Pdgfra_AC,AC,het,CH5,GATA6.gt,af568.gt
042017Pdgfra_AC,AC,ko,CH1,DNA,Hoechst
042017Pdgfra_AC,AC,ko,CH2,GFP,no.ab
042017Pdgfra_AC,AC,ko,CH3,NANOG.rb,af647.rb
042017Pdgfra_AC,AC,ko,CH4,BF,NA
042017Pdgfra_AC,AC,ko,CH5,GATA6.gt,af568.gt
042117Pdgfra_AD,AD,wt,CH1,DNA,Hoechst
042117Pdgfra_AD,AD,wt,CH2,GFP,no.ab
042117Pdgfra_AD,AD,wt,CH3,NANOG.rb,af647.rb
042117Pdgfra_AD,AD,wt,CH4,BF,NA
042117Pdgfra_AD,AD,wt,CH5,GATA6.gt,af568.gt
042117Pdgfra_AD,AD,het,CH1,DNA,Hoechst
042117Pdgfra_AD,AD,het,CH2,GFP,no.ab
042117Pdgfra_AD,AD,het,CH3,NANOG.rb,af647.rb
042117Pdgfra_AD,AD,het,CH4,BF,NA
042117Pdgfra_AD,AD,het,CH5,GATA6.gt,af568.gt
042117Pdgfra_AD,AD,ko,CH1,DNA,Hoechst
042117Pdgfra_AD,AD,ko,CH2,GFP,no.ab
042117Pdgfra_AD,AD,ko,CH3,NANOG.rb,af647.rb
042117Pdgfra_AD,AD,ko,CH4,BF,NA
042117Pdgfra_AD,AD,ko,CH5,GATA6.gt,af568.gt
051717Pdgfra_AE,AE,wt,CH1,DNA,Hoechst
051717Pdgfra_AE,AE,wt,CH2,GFP,no.ab
051717Pdgfra_AE,AE,wt,CH3,NANOG.rb,af647.rb
051717Pdgfra_AE,AE,wt,CH4,BF,NA
051717Pdgfra_AE,AE,wt,CH5,GATA6.gt,af568.gt
051717Pdgfra_AE,AE,het,CH1,DNA,Hoechst
051717Pdgfra_AE,AE,het,CH2,GFP,no.ab
051717Pdgfra_AE,AE,het,CH3,NANOG.rb,af647.rb
051717Pdgfra_AE,AE,het,CH4,BF,NA
051717Pdgfra_AE,AE,het,CH5,GATA6.gt,af568.gt
052617Pdgfra_AF,AF,wt,CH1,DNA,Hoechst
052617Pdgfra_AF,AF,wt,CH2,GFP,no.ab
052617Pdgfra_AF,AF,wt,CH3,NANOG.rb,af647.rb
052617Pdgfra_AF,AF,wt,CH4,BF,NA
052617Pdgfra_AF,AF,wt,CH5,GATA6.gt,af568.gt
052617Pdgfra_AF,AF,het,CH1,DNA,Hoechst
052617Pdgfra_AF,AF,het,CH2,GFP,no.ab
052617Pdgfra_AF,AF,het,CH3,NANOG.rb,af647.rb
052617Pdgfra_AF,AF,het,CH4,BF,NA
052617Pdgfra_AF,AF,het,CH5,GATA6.gt,af568.gt
052617Pdgfra_AF,AF,ko,CH1,DNA,Hoechst
052617Pdgfra_AF,AF,ko,CH2,GFP,no.ab
052617Pdgfra_AF,AF,ko,CH3,NANOG.rb,af647.rb
052617Pdgfra_AF,AF,ko,CH4,BF,NA
052617Pdgfra_AF,AF,ko,CH5,GATA6.gt,af568.gt
052617Pdgfra_AG,AG,wt,CH1,DNA,Hoechst
052617Pdgfra_AG,AG,wt,CH2,GFP,no.ab
052617Pdgfra_AG,AG,wt,CH3,NANOG.rb,af647.rb
052617Pdgfra_AG,AG,wt,CH4,BF,NA
052617Pdgfra_AG,AG,wt,CH5,GATA6.gt,af568.gt
052617Pdgfra_AG,AG,het,CH1,DNA,Hoechst
052617Pdgfra_AG,AG,het,CH2,GFP,no.ab
052617Pdgfra_AG,AG,het,CH3,NANOG.rb,af647.rb
052617Pdgfra_AG,AG,het,CH4,BF,NA
052617Pdgfra_AG,AG,het,CH5,GATA6.gt,af568.gt
052617Pdgfra_AG,AG,ko,CH1,DNA,Hoechst
052617Pdgfra_AG,AG,ko,CH2,GFP,no.ab
052617Pdgfra_AG,AG,ko,CH3,NANOG.rb,af647.rb
052617Pdgfra_AG,AG,ko,CH4,BF,NA
052617Pdgfra_AG,AG,ko,CH5,GATA6.gt,af568.gt
052817Pdgfra_AH,AH,wt,CH1,DNA,Hoechst
052817Pdgfra_AH,AH,wt,CH2,GFP,no.ab
052817Pdgfra_AH,AH,wt,CH3,NANOG.rb,af647.rb
052817Pdgfra_AH,AH,wt,CH4,BF,NA
052817Pdgfra_AH,AH,wt,CH5,GATA6.gt,af568.gt
052817Pdgfra_AH,AH,het,CH1,DNA,Hoechst
052817Pdgfra_AH,AH,het,CH2,GFP,no.ab
052817Pdgfra_AH,AH,het,CH3,NANOG.rb,af647.rb
052817Pdgfra_AH,AH,het,CH4,BF,NA
052817Pdgfra_AH,AH,het,CH5,GATA6.gt,af568.gt
052817Pdgfra_AH,AH,ko,CH1,DNA,Hoechst
052817Pdgfra_AH,AH,ko,CH2,GFP,no.ab
052817Pdgfra_AH,AH,ko,CH3,NANOG.rb,af647.rb
052817Pdgfra_AH,AH,ko,CH4,BF,NA
052817Pdgfra_AH,AH,ko,CH5,GATA6.gt,af568.gt
053017Pdgfra_AI,AI,wt,CH1,DNA,Hoechst
053017Pdgfra_AI,AI,wt,CH2,GFP,no.ab
053017Pdgfra_AI,AI,wt,CH3,NANOG.rb,af647.rb
053017Pdgfra_AI,AI,wt,CH4,BF,NA
053017Pdgfra_AI,AI,wt,CH5,GATA6.gt,af568.gt
053017Pdgfra_AI,AI,het,CH1,DNA,Hoechst
053017Pdgfra_AI,AI,het,CH2,GFP,no.ab
053017Pdgfra_AI,AI,het,CH3,NANOG.rb,af647.rb
053017Pdgfra_AI,AI,het,CH4,BF,NA
053017Pdgfra_AI,AI,het,CH5,GATA6.gt,af568.gt
053017Pdgfra_AI,AI,ko,CH1,DNA,Hoechst
053017Pdgfra_AI,AI,ko,CH2,GFP,no.ab
053017Pdgfra_AI,AI,ko,CH3,NANOG.rb,af647.rb
053017Pdgfra_AI,AI,ko,CH4,BF,NA
053017Pdgfra_AI,AI,ko,CH5,GATA6.gt,af568.gt
053117Pdgfra_AJ,AJ,wt,CH1,DNA,Hoechst
053117Pdgfra_AJ,AJ,wt,CH2,GFP,no.ab
053117Pdgfra_AJ,AJ,wt,CH3,NANOG.rb,af647.rb
053117Pdgfra_AJ,AJ,wt,CH4,BF,NA
053117Pdgfra_AJ,AJ,wt,CH5,GATA6.gt,af568.gt
053117Pdgfra_AJ,AJ,het,CH1,DNA,Hoechst
053117Pdgfra_AJ,AJ,het,CH2,GFP,no.ab
053117Pdgfra_AJ,AJ,het,CH3,NANOG.rb,af647.rb
053117Pdgfra_AJ,AJ,het,CH4,BF,NA
053117Pdgfra_AJ,AJ,het,CH5,GATA6.gt,af568.gt
053117Pdgfra_AJ,AJ,ko,CH1,DNA,Hoechst
053117Pdgfra_AJ,AJ,ko,CH2,GFP,no.ab
053117Pdgfra_AJ,AJ,ko,CH3,NANOG.rb,af647.rb
053117Pdgfra_AJ,AJ,ko,CH4,BF,NA
053117Pdgfra_AJ,AJ,ko,CH5,GATA6.gt,af568.gt
061817Pdgfra_AM,AM,wt,CH1,DNA,Hoechst
061817Pdgfra_AM,AM,wt,CH2,CDX2.m,af488.m
061817Pdgfra_AM,AM,wt,CH3,NANOG.rb,af647.rb
061817Pdgfra_AM,AM,wt,CH4,BF,NA
061817Pdgfra_AM,AM,wt,CH5,GATA6.gt,af568.gt
061817Pdgfra_AM,AM,het,CH1,DNA,Hoechst
061817Pdgfra_AM,AM,het,CH2,GFP,no.ab
061817Pdgfra_AM,AM,het,CH3,NANOG.rb,af647.rb
061817Pdgfra_AM,AM,het,CH4,BF,NA
061817Pdgfra_AM,AM,het,CH5,GATA6.gt,af568.gt
061817Pdgfra_AN,AN,wt,CH1,DNA,Hoechst
061817Pdgfra_AN,AN,wt,CH2,CDX2.m,af488.m
061817Pdgfra_AN,AN,wt,CH3,NANOG.rb,af647.rb
061817Pdgfra_AN,AN,wt,CH4,BF,NA
061817Pdgfra_AN,AN,wt,CH5,GATA6.gt,af568.gt
061817Pdgfra_AN,AN,het,CH1,DNA,Hoechst
061817Pdgfra_AN,AN,het,CH2,GFP,no.ab
061817Pdgfra_AN,AN,het,CH3,NANOG.rb,af647.rb
061817Pdgfra_AN,AN,het,CH4,BF,NA
061817Pdgfra_AN,AN,het,CH5,GATA6.gt,af568.gt
062917Pdgfra_AT,AT,wt,CH1,DNA,Hoechst
062917Pdgfra_AT,AT,wt,CH2,GFP,no.ab
062917Pdgfra_AT,AT,wt,CH3,NANOG.rb,af647.rb
062917Pdgfra_AT,AT,wt,CH4,BF,NA
062917Pdgfra_AT,AT,wt,CH5,GATA6.gt,af568.gt
062917Pdgfra_AT,AT,het,CH1,DNA,Hoechst
062917Pdgfra_AT,AT,het,CH2,GFP,no.ab
062917Pdgfra_AT,AT,het,CH3,NANOG.rb,af647.rb
062917Pdgfra_AT,AT,het,CH4,BF,NA
062917Pdgfra_AT,AT,het,CH5,GATA6.gt,af568.gt
062917Pdgfra_AU,AU,het,CH1,DNA,Hoechst
062917Pdgfra_AU,AU,het,CH2,GFP,no.ab
062917Pdgfra_AU,AU,het,CH3,NANOG.rb,af647.rb
062917Pdgfra_AU,AU,het,CH4,BF,NA
062917Pdgfra_AU,AU,het,CH5,GATA6.gt,af568.gt
071317Pdgfra_AW,AW,wt,CH1,DNA,Hoechst
071317Pdgfra_AW,AW,wt,CH2,GFP,no.ab
071317Pdgfra_AW,AW,wt,CH3,NANOG.rb,af647.rb
071317Pdgfra_AW,AW,wt,CH4,BF,NA
071317Pdgfra_AW,AW,wt,CH5,GATA6.gt,af568.gt
071317Pdgfra_AW,AW,het,CH1,DNA,Hoechst
071317Pdgfra_AW,AW,het,CH2,GFP,no.ab
071317Pdgfra_AW,AW,het,CH3,NANOG.rb,af647.rb
071317Pdgfra_AW,AW,het,CH4,BF,NA
071317Pdgfra_AW,AW,het,CH5,GATA6.gt,af568.gt
072017Pdgfra_BE,BE,wt,CH1,DNA,Hoechst
072017Pdgfra_BE,BE,wt,CH2,GFP,no.ab
072017Pdgfra_BE,BE,wt,CH3,NANOG.rb,af647.rb
072017Pdgfra_BE,BE,wt,CH4,BF,NA
072017Pdgfra_BE,BE,wt,CH5,GATA6.gt,af568.gt
072017Pdgfra_BE,BE,het,CH1,DNA,Hoechst
072017Pdgfra_BE,BE,het,CH2,GFP,no.ab
072017Pdgfra_BE,BE,het,CH3,NANOG.rb,af647.rb
072017Pdgfra_BE,BE,het,CH4,BF,NA
072017Pdgfra_BE,BE,het,CH5,GATA6.gt,af568.gt
072917Pdgfra_BH,BH,wt,CH1,DNA,Hoechst
072917Pdgfra_BH,BH,wt,CH2,GFP,no.ab
072917Pdgfra_BH,BH,wt,CH3,NANOG.rb,af647.rb
072917Pdgfra_BH,BH,wt,CH4,BF,NA
072917Pdgfra_BH,BH,wt,CH5,GATA6.gt,af568.gt
072917Pdgfra_BH,BH,het,CH1,DNA,Hoechst
072917Pdgfra_BH,BH,het,CH2,GFP,no.ab
072917Pdgfra_BH,BH,het,CH3,NANOG.rb,af647.rb
072917Pdgfra_BH,BH,het,CH4,BF,NA
072917Pdgfra_BH,BH,het,CH5,GATA6.gt,af568.gt
072917Pdgfra_BI,BI,wt,CH1,DNA,Hoechst
072917Pdgfra_BI,BI,wt,CH2,GFP,no.ab
072917Pdgfra_BI,BI,wt,CH3,NANOG.rb,af647.rb
072917Pdgfra_BI,BI,wt,CH4,BF,NA
072917Pdgfra_BI,BI,wt,CH5,GATA6.gt,af568.gt
072917Pdgfra_BI,BI,het,CH1,DNA,Hoechst
072917Pdgfra_BI,BI,het,CH2,GFP,no.ab
072917Pdgfra_BI,BI,het,CH3,NANOG.rb,af647.rb
072917Pdgfra_BI,BI,het,CH4,BF,NA
072917Pdgfra_BI,BI,het,CH5,GATA6.gt,af568.gt
073117Pdgfra_BJ,BJ,wt,CH1,DNA,Hoechst
073117Pdgfra_BJ,BJ,wt,CH2,GFP,no.ab
073117Pdgfra_BJ,BJ,wt,CH3,NANOG.rb,af647.rb
073117Pdgfra_BJ,BJ,wt,CH4,BF,NA
073117Pdgfra_BJ,BJ,wt,CH5,GATA6.gt,af568.gt
073117Pdgfra_BJ,BJ,het,CH1,DNA,Hoechst
073117Pdgfra_BJ,BJ,het,CH2,GFP,no.ab
073117Pdgfra_BJ,BJ,het,CH3,NANOG.rb,af647.rb
073117Pdgfra_BJ,BJ,het,CH4,BF,NA
073117Pdgfra_BJ,BJ,het,CH5,GATA6.gt,af568.gt
073117Pdgfra_BJ,BJ,ko,CH1,DNA,Hoechst
073117Pdgfra_BJ,BJ,ko,CH2,GFP,no.ab
073117Pdgfra_BJ,BJ,ko,CH3,NANOG.rb,af647.rb
073117Pdgfra_BJ,BJ,ko,CH4,BF,NA
073117Pdgfra_BJ,BJ,ko,CH5,GATA6.gt,af568.gt
080417Pdgfra_BK,BK,wt,CH1,DNA,Hoechst
080417Pdgfra_BK,BK,wt,CH2,GFP,no.ab
080417Pdgfra_BK,BK,wt,CH3,NANOG.rb,af647.rb
080417Pdgfra_BK,BK,wt,CH4,BF,NA
080417Pdgfra_BK,BK,wt,CH5,GATA6.gt,af568.gt
080417Pdgfra_BK,BK,het,CH1,DNA,Hoechst
080417Pdgfra_BK,BK,het,CH2,GFP,no.ab
080417Pdgfra_BK,BK,het,CH3,NANOG.rb,af647.rb
080417Pdgfra_BK,BK,het,CH4,BF,NA
080417Pdgfra_BK,BK,het,CH5,GATA6.gt,af568.gt
080417Pdgfra_BK,BK,ko,CH1,DNA,Hoechst
080417Pdgfra_BK,BK,ko,CH2,GFP,no.ab
080417Pdgfra_BK,BK,ko,CH3,NANOG.rb,af647.rb
080417Pdgfra_BK,BK,ko,CH4,BF,NA
080417Pdgfra_BK,BK,ko,CH5,GATA6.gt,af568.gt
091217Pdgfra_BL,BL,wt,CH1,DNA,Hoechst
091217Pdgfra_BL,BL,wt,CH2,NANOG.rat,af488.rat
091217Pdgfra_BL,BL,wt,CH3,GATA4.rb,af647.rb
091217Pdgfra_BL,BL,wt,CH4,BF,NA
091217Pdgfra_BL,BL,wt,CH5,GATA6.gt,af568.gt
091217Pdgfra_BL,BL,het,CH1,DNA,Hoechst
091217Pdgfra_BL,BL,het,CH2,GFP,no.ab
091217Pdgfra_BL,BL,het,CH3,GATA4.rb,af647.rb
091217Pdgfra_BL,BL,het,CH4,BF,NA
091217Pdgfra_BL,BL,het,CH5,NANOG.rat,af594.rat
091217Pdgfra_BM,BM,wt,CH1,DNA,Hoechst
091217Pdgfra_BM,BM,wt,CH2,NANOG.rat,af488.rat
091217Pdgfra_BM,BM,wt,CH3,GATA4.rb,af647.rb
091217Pdgfra_BM,BM,wt,CH4,BF,NA
091217Pdgfra_BM,BM,wt,CH5,GATA6.gt,af568.gt
091217Pdgfra_BM,BM,het,CH1,DNA,Hoechst
091217Pdgfra_BM,BM,het,CH2,GFP,no.ab
091217Pdgfra_BM,BM,het,CH3,GATA4.rb,af647.rb
091217Pdgfra_BM,BM,het,CH4,BF,NA
091217Pdgfra_BM,BM,het,CH5,NANOG.rat,af594.rat
092017Pdgfra_BN,BN,wt,CH1,DNA,Hoechst
092017Pdgfra_BN,BN,wt,CH2,NANOG.rat,af488.rat
092017Pdgfra_BN,BN,wt,CH3,GATA6.rb,af647.rb
092017Pdgfra_BN,BN,wt,CH4,BF,NA
092017Pdgfra_BN,BN,wt,CH5,SOX17.gt,af568.gt
092017Pdgfra_BN,BN,het,CH1,DNA,Hoechst
092017Pdgfra_BN,BN,het,CH2,GFP,no.ab
092017Pdgfra_BN,BN,het,CH3,NANOG.rb,af647.rb
092017Pdgfra_BN,BN,het,CH4,BF,NA
092017Pdgfra_BN,BN,het,CH5,SOX17.gt,af568.gt
092017Pdgfra_BO,BO,wt,CH1,DNA,Hoechst
092017Pdgfra_BO,BO,wt,CH2,NANOG.rat,af488.rat
092017Pdgfra_BO,BO,wt,CH3,GATA4.rb,af647.rb
092017Pdgfra_BO,BO,wt,CH4,BF,NA
092017Pdgfra_BO,BO,wt,CH5,GATA6.gt,af568.gt
092017Pdgfra_BO,BO,het,CH1,DNA,Hoechst
092017Pdgfra_BO,BO,het,CH2,GFP,no.ab
092017Pdgfra_BO,BO,het,CH3,GATA4.rb,af647.rb
092017Pdgfra_BO,BO,het,CH4,BF,NA
092017Pdgfra_BO,BO,het,CH5,NANOG.rat,af594.rat
092117Pdgfra_BP,BP,wt,CH1,DNA,Hoechst
092117Pdgfra_BP,BP,wt,CH2,GFP,no.ab
092117Pdgfra_BP,BP,wt,CH3,NANOG.rb,af647.rb
092117Pdgfra_BP,BP,wt,CH4,BF,NA
092117Pdgfra_BP,BP,wt,CH5,GATA6.gt,af568.gt
092117Pdgfra_BQ,BQ,wt,CH1,DNA,Hoechst
092117Pdgfra_BQ,BQ,wt,CH2,GFP,no.ab
092117Pdgfra_BQ,BQ,wt,CH3,GATA4.rb,af647.rb
092117Pdgfra_BQ,BQ,wt,CH4,BF,NA
092117Pdgfra_BQ,BQ,wt,CH5,NANOG.rat,af594.rat
092117Pdgfra_BQ,BQ,het,CH1,DNA,Hoechst
092117Pdgfra_BQ,BQ,het,CH2,GFP,no.ab
092117Pdgfra_BQ,BQ,het,CH3,GATA4.rb,af647.rb
092117Pdgfra_BQ,BQ,het,CH4,BF,NA
092117Pdgfra_BQ,BQ,het,CH5,NANOG.rat,af594.rat
092217Pdgfra_BR,BR,wt,CH1,DNA,Hoechst
092217Pdgfra_BR,BR,wt,CH2,NANOG.rat,af488.rat
092217Pdgfra_BR,BR,wt,CH3,GATA6.rb,af647.rb
092217Pdgfra_BR,BR,wt,CH4,BF,NA
092217Pdgfra_BR,BR,wt,CH5,SOX17.gt,af568.gt
092217Pdgfra_BR,BR,het,CH1,DNA,Hoechst
092217Pdgfra_BR,BR,het,CH2,GFP,no.ab
092217Pdgfra_BR,BR,het,CH3,NANOG.rb,af647.rb
092217Pdgfra_BR,BR,het,CH4,BF,NA
092217Pdgfra_BR,BR,het,CH5,SOX17.gt,af568.gt
092717Pdgfra_BS,BS,wt,CH1,DNA,Hoechst
092717Pdgfra_BS,BS,wt,CH2,GFP,no.ab
092717Pdgfra_BS,BS,wt,CH3,NANOG.rb,af647.rb
092717Pdgfra_BS,BS,wt,CH4,BF,NA
092717Pdgfra_BS,BS,wt,CH5,GATA6.gt,af568.gt
092717Pdgfra_BS,BS,het,CH1,DNA,Hoechst
092717Pdgfra_BS,BS,het,CH2,GFP,no.ab
092717Pdgfra_BS,BS,het,CH3,NANOG.rb,af647.rb
092717Pdgfra_BS,BS,het,CH4,BF,NA
092717Pdgfra_BS,BS,het,CH5,GATA6.gt,af568.gt
092717Pdgfra_BS,BS,ko,CH1,DNA,Hoechst
092717Pdgfra_BS,BS,ko,CH2,GFP,no.ab
092717Pdgfra_BS,BS,ko,CH3,NANOG.rb,af647.rb
092717Pdgfra_BS,BS,ko,CH4,BF,NA
092717Pdgfra_BS,BS,ko,CH5,GATA6.gt,af568.gt
092717Pdgfra_BT,BT,wt,CH1,DNA,Hoechst
092717Pdgfra_BT,BT,wt,CH2,GFP,no.ab
092717Pdgfra_BT,BT,wt,CH3,NANOG.rb,af647.rb
092717Pdgfra_BT,BT,wt,CH4,BF,NA
092717Pdgfra_BT,BT,wt,CH5,GATA6.gt,af568.gt
092717Pdgfra_BT,BT,het,CH1,DNA,Hoechst
092717Pdgfra_BT,BT,het,CH2,GFP,no.ab
092717Pdgfra_BT,BT,het,CH3,NANOG.rb,af647.rb
092717Pdgfra_BT,BT,het,CH4,BF,NA
092717Pdgfra_BT,BT,het,CH5,GATA6.gt,af568.gt
092717Pdgfra_BT,BT,ko,CH1,DNA,Hoechst
092717Pdgfra_BT,BT,ko,CH2,GFP,no.ab
092717Pdgfra_BT,BT,ko,CH3,NANOG.rb,af647.rb
092717Pdgfra_BT,BT,ko,CH4,BF,NA
092717Pdgfra_BT,BT,ko,CH5,GATA6.gt,af568.gt
030918FVB_A,A,wt,CH1,DNA,Hoechst
030918FVB_A,A,wt,CH2,CDX2.m,af488.m
030918FVB_A,A,wt,CH3,NANOG.rb,af647.rb
030918FVB_A,A,wt,CH4,BF,NA
030918FVB_A,A,wt,CH5,GATA6.gt,af568.gt
030918FVB_B,B,wt,CH1,DNA,Hoechst
030918FVB_B,B,wt,CH2,CDX2.m,af488.m
030918FVB_B,B,wt,CH3,NANOG.rb,af647.rb
030918FVB_B,B,wt,CH4,BF,NA
030918FVB_B,B,wt,CH5,GATA6.gt,af568.gt
030918FVB_C,C,wt,CH1,DNA,Hoechst
030918FVB_C,C,wt,CH2,CDX2.m,af488.m
030918FVB_C,C,wt,CH3,NANOG.rb,af647.rb
030918FVB_C,C,wt,CH4,BF,NA
030918FVB_C,C,wt,CH5,GATA6.gt,af568.gt
031518FVB_D,D,wt,CH1,DNA,Hoechst
031518FVB_D,D,wt,CH2,CDX2.m,af488.m
031518FVB_D,D,wt,CH3,NANOG.rb,af647.rb
031518FVB_D,D,wt,CH4,BF,NA
031518FVB_D,D,wt,CH5,GATA6.gt,af568.gt
031618FVB_E,E,wt,CH1,DNA,Hoechst
031618FVB_E,E,wt,CH2,CDX2.m,af488.m
031618FVB_E,E,wt,CH3,NANOG.rb,af647.rb
031618FVB_E,E,wt,CH4,BF,NA
031618FVB_E,E,wt,CH5,GATA6.gt,af568.gt
