Experiment,Treatment,Channel,Marker,ab.2
030217Xim_WT_AM,Control,CH5,GATA6.gt,af568.gt
030217Xim_WT_AM,Chimera,CH1,DNA,Hoechst
030217Xim_WT_AM,Chimera,CH2,GFP.ck,af488.ck
030217Xim_WT_AM,Chimera,CH3,NANOG.rb,af647.rb
030217Xim_WT_AM,Chimera,CH4,BF,NA
030217Xim_WT_AM,Chimera,CH5,GATA6.gt,af568.gt
031818Xim_WT_AN,Control,CH1,DNA,Hoechst
031818Xim_WT_AN,Control,CH2,CDX2.m,af488.m
031818Xim_WT_AN,Control,CH3,NANOG.rb,af647.rb
031818Xim_WT_AN,Control,CH4,BF,NA
031818Xim_WT_AN,Control,CH5,GATA6.gt,af568.gt
031818Xim_WT_AN,Chimera,CH1,DNA,Hoechst
031818Xim_WT_AN,Chimera,CH2,GFP.ck,af488.ck
031818Xim_WT_AN,Chimera,CH3,NANOG.rb,af647.rb
031818Xim_WT_AN,Chimera,CH4,BF,NA
031818Xim_WT_AN,Chimera,CH5,GATA6.gt,af568.gt
031818Xim_WT_AO,Control,CH1,DNA,Hoechst
031818Xim_WT_AO,Control,CH2,CDX2.m,af488.m
031818Xim_WT_AO,Control,CH3,NANOG.rb,af647.rb
031818Xim_WT_AO,Control,CH4,BF,NA
031818Xim_WT_AO,Control,CH5,GATA6.gt,af568.gt
031818Xim_WT_AO,Chimera,CH1,DNA,Hoechst
031818Xim_WT_AO,Chimera,CH2,GFP.ck,af488.ck
031818Xim_WT_AO,Chimera,CH3,NANOG.rb,af647.rb
031818Xim_WT_AO,Chimera,CH4,BF,NA
031818Xim_WT_AO,Chimera,CH5,GATA6.gt,af568.gt
033117Xim_WT_AP,Chimera,CH1,DNA,Hoechst
033117Xim_WT_AP,Chimera,CH2,GFP.ck,af488.ck
033117Xim_WT_AP,Chimera,CH3,NANOG.rb,af647.rb
033117Xim_WT_AP,Chimera,CH4,BF,NA
033117Xim_WT_AP,Chimera,CH5,GATA6.gt,af568.gt
042617Xim_G6_AQ,Control,CH1,DNA,Hoechst
042617Xim_G6_AQ,Control,CH2,CDX2.m,af488.m
042617Xim_G6_AQ,Control,CH3,NANOG.rb,af647.rb
042617Xim_G6_AQ,Control,CH4,BF,NA
042617Xim_G6_AQ,Control,CH5,GATA6.gt,af568.gt
042617Xim_G6_AQ,Chimera,CH1,DNA,Hoechst
042617Xim_G6_AQ,Chimera,CH2,GFP.ck,af488.ck
042617Xim_G6_AQ,Chimera,CH3,NANOG.rb,af647.rb
042617Xim_G6_AQ,Chimera,CH4,BF,NA
042617Xim_G6_AQ,Chimera,CH5,GATA6.gt,af568.gt
042617Xim_G6_AR,Control,CH1,DNA,Hoechst
042617Xim_G6_AR,Control,CH2,CDX2.m,af488.m
042617Xim_G6_AR,Control,CH3,NANOG.rb,af647.rb
042617Xim_G6_AR,Control,CH4,BF,NA
042617Xim_G6_AR,Control,CH5,GATA6.gt,af568.gt
042617Xim_G6_AR,Chimera,CH1,DNA,Hoechst
042617Xim_G6_AR,Chimera,CH2,GFP.ck,af488.ck
042617Xim_G6_AR,Chimera,CH3,NANOG.rb,af647.rb
042617Xim_G6_AR,Chimera,CH4,BF,NA
042617Xim_G6_AR,Chimera,CH5,GATA6.gt,af568.gt
040618Xim_G6_AT,Chimera,CH1,DNA,Hoechst
040618Xim_G6_AT,Chimera,CH2,GFP.ck,af488.ck
040618Xim_G6_AT,Chimera,CH3,NANOG.rb,af647.rb
040618Xim_G6_AT,Chimera,CH4,BF,NA
040618Xim_G6_AT,Chimera,CH5,GATA6.gt,af568.gt
041318Xim_G6_AW,Control,CH1,DNA,Hoechst
041318Xim_G6_AW,Control,CH2,GFP.ck,af488.ck
041318Xim_G6_AW,Control,CH3,NANOG.rb,af647.rb
041318Xim_G6_AW,Control,CH4,BF,NA
041318Xim_G6_AW,Control,CH5,GATA6.gt,af568.gt
041318Xim_G6_AW,Chimera,CH1,DNA,Hoechst
041318Xim_G6_AW,Chimera,CH2,GFP.ck,af488.ck
041318Xim_G6_AW,Chimera,CH3,NANOG.rb,af647.rb
041318Xim_G6_AW,Chimera,CH4,BF,NA
041318Xim_G6_AW,Chimera,CH5,GATA6.gt,af568.gt
041318Xim_G6_AXa,Control,CH1,DNA,Hoechst
041318Xim_G6_AXa,Control,CH2,OCT4.m,af488.m
041318Xim_G6_AXa,Control,CH3,GATA4.rb,af647.rb
041318Xim_G6_AXa,Control,CH4,BF,NA
041318Xim_G6_AXa,Control,CH5,GATA6.gt,af568.gt
041318Xim_G6_AXb,Control,CH1,DNA,Hoechst
041318Xim_G6_AXb,Control,CH2,OCT4.m,af488.m
041318Xim_G6_AXb,Control,CH3,GATA4.rb,af647.rb
041318Xim_G6_AXb,Control,CH4,BF,NA
041318Xim_G6_AXb,Control,CH5,SOX17.gt,af568.gt
041818Xim_G6_AY,Control,CH1,DNA,Hoechst
041818Xim_G6_AY,Control,CH2,GFP.ck,af488.ck
041818Xim_G6_AY,Control,CH3,NANOG.rb,af647.rb
041818Xim_G6_AY,Control,CH4,BF,NA
041818Xim_G6_AY,Control,CH5,GATA6.gt,af568.gt
041818Xim_G6_AY,Chimera,CH1,DNA,Hoechst
041818Xim_G6_AY,Chimera,CH2,GFP.ck,af488.ck
041818Xim_G6_AY,Chimera,CH3,NANOG.rb,af647.rb
041818Xim_G6_AY,Chimera,CH4,BF,NA
041818Xim_G6_AY,Chimera,CH5,GATA6.gt,af568.gt
041918Xim_G6_AZ,Control,CH1,DNA,Hoechst
041918Xim_G6_AZ,Control,CH2,GFP.ck,af488.ck
041918Xim_G6_AZ,Control,CH3,NANOG.rb,af647.rb
041918Xim_G6_AZ,Control,CH4,BF,NA
041918Xim_G6_AZ,Control,CH5,GATA6.gt,af568.gt
041918Xim_G6_AZ,Chimera,CH1,DNA,Hoechst
041918Xim_G6_AZ,Chimera,CH2,GFP.ck,af488.ck
041918Xim_G6_AZ,Chimera,CH3,NANOG.rb,af647.rb
041918Xim_G6_AZ,Chimera,CH4,BF,NA
041918Xim_G6_AZ,Chimera,CH5,GATA6.gt,af568.gt
050118Xim_G6_BA,Control,CH1,DNA,Hoechst
050118Xim_G6_BA,Control,CH2,GFP.ck,af488.ck
050118Xim_G6_BA,Control,CH3,NANOG.rb,af647.rb
050118Xim_G6_BA,Control,CH4,BF,NA
050118Xim_G6_BA,Control,CH5,GATA6.gt,af568.gt
050118Xim_G6_BA,Chimera,CH1,DNA,Hoechst
050118Xim_G6_BA,Chimera,CH2,GFP.ck,af488.ck
050118Xim_G6_BA,Chimera,CH3,NANOG.rb,af647.rb
050118Xim_G6_BA,Chimera,CH4,BF,NA
050118Xim_G6_BA,Chimera,CH5,GATA6.gt,af568.gt
050718Xim_WT_BB,Control,CH1,DNA,Hoechst
050718Xim_WT_BB,Control,CH2,GFP.ck,af488.ck
050718Xim_WT_BB,Control,CH3,NANOG.rb,af647.rb
050718Xim_WT_BB,Control,CH4,BF,NA
050718Xim_WT_BB,Control,CH5,GATA6.gt,af568.gt
050718Xim_WT_BB,Chimera,CH1,DNA,Hoechst
050718Xim_WT_BB,Chimera,CH2,GFP.ck,af488.ck
050718Xim_WT_BB,Chimera,CH3,NANOG.rb,af647.rb
050718Xim_WT_BB,Chimera,CH4,BF,NA
050718Xim_WT_BB,Chimera,CH5,GATA6.gt,af568.gt
050718Xim_WT_BC,Control,CH1,DNA,Hoechst
050718Xim_WT_BC,Control,CH2,GFP.ck,af488.ck
050718Xim_WT_BC,Control,CH3,NANOG.rb,af647.rb
050718Xim_WT_BC,Control,CH4,BF,NA
050718Xim_WT_BC,Control,CH5,GATA6.gt,af568.gt
050718Xim_WT_BC,Chimera,CH1,DNA,Hoechst
050718Xim_WT_BC,Chimera,CH2,GFP.ck,af488.ck
050718Xim_WT_BC,Chimera,CH3,NANOG.rb,af647.rb
050718Xim_WT_BC,Chimera,CH4,BF,NA
050718Xim_WT_BC,Chimera,CH5,GATA6.gt,af568.gt
050918Xim_WT_BD,Control,CH1,DNA,Hoechst
050918Xim_WT_BD,Control,CH2,GFP.ck,af488.ck
050918Xim_WT_BD,Control,CH3,NANOG.rb,af647.rb
050918Xim_WT_BD,Control,CH4,BF,NA
050918Xim_WT_BD,Control,CH5,GATA6.gt,af568.gt
050918Xim_WT_BD,Chimera,CH1,DNA,Hoechst
050918Xim_WT_BD,Chimera,CH2,GFP.ck,af488.ck
050918Xim_WT_BD,Chimera,CH3,NANOG.rb,af647.rb
050918Xim_WT_BD,Chimera,CH4,BF,NA
050918Xim_WT_BD,Chimera,CH5,GATA6.gt,af568.gt
052318Xim_WT_BE,Control,CH1,DNA,Hoechst
052318Xim_WT_BE,Control,CH2,GFP.ck,af488.ck
052318Xim_WT_BE,Control,CH3,NANOG.rb,af647.rb
052318Xim_WT_BE,Control,CH4,BF,NA
052318Xim_WT_BE,Control,CH5,GATA6.gt,af568.gt
052318Xim_WT_BE,Chimera,CH1,DNA,Hoechst
052318Xim_WT_BE,Chimera,CH2,GFP.ck,af488.ck
052318Xim_WT_BE,Chimera,CH3,NANOG.rb,af647.rb
052318Xim_WT_BE,Chimera,CH4,BF,NA
052318Xim_WT_BE,Chimera,CH5,GATA6.gt,af568.gt
053118Xim_G6_BF,Control,CH1,DNA,Hoechst
053118Xim_G6_BF,Control,CH2,GFP.ck,af488.ck
053118Xim_G6_BF,Control,CH3,NANOG.rb,af647.rb
053118Xim_G6_BF,Control,CH4,BF,NA
053118Xim_G6_BF,Control,CH5,GATA6.gt,af568.gt
053118Xim_G6_BF,Chimera,CH1,DNA,Hoechst
053118Xim_G6_BF,Chimera,CH2,GFP.ck,af488.ck
053118Xim_G6_BF,Chimera,CH3,NANOG.rb,af647.rb
053118Xim_G6_BF,Chimera,CH4,BF,NA
053118Xim_G6_BF,Chimera,CH5,GATA6.gt,af568.gt
053118Xim_G6_BG,Control,CH1,DNA,Hoechst
053118Xim_G6_BG,Control,CH2,GFP.ck,af488.ck
053118Xim_G6_BG,Control,CH3,NANOG.rb,af647.rb
053118Xim_G6_BG,Control,CH4,BF,NA
053118Xim_G6_BG,Control,CH5,GATA6.gt,af568.gt
053118Xim_G6_BG,Chimera,CH1,DNA,Hoechst
053118Xim_G6_BG,Chimera,CH2,GFP.ck,af488.ck
053118Xim_G6_BG,Chimera,CH3,NANOG.rb,af647.rb
053118Xim_G6_BG,Chimera,CH4,BF,NA
053118Xim_G6_BG,Chimera,CH5,GATA6.gt,af568.gt
061218Xim_G6_BH,Control,CH1,DNA,Hoechst
061218Xim_G6_BH,Control,CH2,GFP.ck,af488.ck
061218Xim_G6_BH,Control,CH3,NANOG.rb,af647.rb
061218Xim_G6_BH,Control,CH4,BF,NA
061218Xim_G6_BH,Control,CH5,GATA6.gt,af568.gt
061218Xim_G6_BH,Chimera,CH1,DNA,Hoechst
061218Xim_G6_BH,Chimera,CH2,GFP.ck,af488.ck
061218Xim_G6_BH,Chimera,CH3,NANOG.rb,af647.rb
061218Xim_G6_BH,Chimera,CH4,BF,NA
061218Xim_G6_BH,Chimera,CH5,GATA6.gt,af568.gt
061218Xim_G6_BI,Control,CH1,DNA,Hoechst
061218Xim_G6_BI,Control,CH2,GFP.ck,af488.ck
061218Xim_G6_BI,Control,CH3,NANOG.rb,af647.rb
061218Xim_G6_BI,Control,CH4,BF,NA
061218Xim_G6_BI,Control,CH5,GATA6.gt,af568.gt
