Experiment,Litter,Channel,Marker,ab.2
092917G6G4_M,M,CH4,BF,NA
092917G6G4_M,M,CH5,GATA6.gt,af568.gt
111017G6G4_N,N,CH1,DNA,Hoechst
111017G6G4_N,N,CH2,NANOG.rat,af488.rat
111017G6G4_N,N,CH3,GATA4.rb,af647.rb
111017G6G4_N,N,CH4,BF,NA
111017G6G4_N,N,CH5,GATA6.gt,af568.gt
122017G6G4_O,O,CH1,DNA,Hoechst
122017G6G4_O,O,CH2,NANOG.rat,af488.rat
122017G6G4_O,O,CH3,GATA4.rb,af647.rb
122017G6G4_O,O,CH4,BF,NA
122017G6G4_O,O,CH5,GATA6.gt,af568.gt
011618G6G4_P,P,CH1,DNA,Hoechst
011618G6G4_P,P,CH2,NANOG.rat,af488.rat
011618G6G4_P,P,CH3,GATA4.rb,af647.rb
011618G6G4_P,P,CH4,BF,NA
011618G6G4_P,P,CH5,GATA6.gt,af568.gt
011818G6G4_Q,Q,CH1,DNA,Hoechst
011818G6G4_Q,Q,CH2,NANOG.rat,af488.rat
011818G6G4_Q,Q,CH3,GATA4.rb,af647.rb
011818G6G4_Q,Q,CH4,BF,NA
011818G6G4_Q,Q,CH5,GATA6.gt,af568.gt
021618G6G4_R,R,CH1,DNA,Hoechst
021618G6G4_R,R,CH2,NANOG.rat,af488.rat
021618G6G4_R,R,CH3,GATA4.rb,af647.rb
021618G6G4_R,R,CH4,BF,NA
021618G6G4_R,R,CH5,GATA6.gt,af568.gt
022618G6G4_S,S,CH1,DNA,Hoechst
022618G6G4_S,S,CH2,NANOG.rat,af488.rat
022618G6G4_S,S,CH3,GATA4.rb,af647.rb
022618G6G4_S,S,CH4,BF,NA
022618G6G4_S,S,CH5,GATA6.gt,af568.gt
032818G6G4_T,T,CH1,DNA,Hoechst
032818G6G4_T,T,CH2,NANOG.rat,af488.rat
032818G6G4_T,T,CH3,GATA4.rb,af647.rb
032818G6G4_T,T,CH4,BF,NA
032818G6G4_T,T,CH5,GATA6.gt,af568.gt
033018G6G4_U,U,CH1,DNA,Hoechst
033018G6G4_U,U,CH2,NANOG.rat,af488.rat
033018G6G4_U,U,CH3,GATA4.rb,af647.rb
033018G6G4_U,U,CH4,BF,NA
033018G6G4_U,U,CH5,GATA6.gt,af568.gt
041318G6G4_V,V,CH1,DNA,Hoechst
041318G6G4_V,V,CH2,NANOG.rat,af488.rat
041318G6G4_V,V,CH3,GATA4.rb,af647.rb
041318G6G4_V,V,CH4,BF,NA
041318G6G4_V,V,CH5,GATA6.gt,af568.gt
041318G6G4_W,W,CH1,DNA,Hoechst
041318G6G4_W,W,CH2,NANOG.rat,af488.rat
041318G6G4_W,W,CH3,GATA4.rb,af647.rb
041318G6G4_W,W,CH4,BF,NA
041318G6G4_W,W,CH5,GATA6.gt,af568.gt
050218G6G4_X,X,CH1,DNA,Hoechst
050218G6G4_X,X,CH2,NANOG.rat,af488.rat
050218G6G4_X,X,CH3,GATA4.rb,af647.rb
050218G6G4_X,X,CH4,BF,NA
050218G6G4_X,X,CH5,GATA6.gt,af568.gt
053018G6G4_Y,Y,CH1,DNA,Hoechst
053018G6G4_Y,Y,CH2,CDX2.m,af488.m
053018G6G4_Y,Y,CH3,NANOG.rb,af647.rb
053018G6G4_Y,Y,CH4,BF,NA
053018G6G4_Y,Y,CH5,GATA6.gt,af568.gt
053018G6G4_Z,Z,CH1,DNA,Hoechst
053018G6G4_Z,Z,CH2,CDX2.m,af488.m
053018G6G4_Z,Z,CH3,NANOG.rb,af647.rb
053018G6G4_Z,Z,CH4,BF,NA
053018G6G4_Z,Z,CH5,GATA6.gt,af568.gt
060518G6G4_AA,AA,CH1,DNA,Hoechst
060518G6G4_AA,AA,CH2,CDX2.m,af488.m
060518G6G4_AA,AA,CH3,NANOG.rb,af647.rb
060518G6G4_AA,AA,CH4,BF,NA
060518G6G4_AA,AA,CH5,GATA6.gt,af568.gt
060818G6G4_AB,AB,CH1,DNA,Hoechst
060818G6G4_AB,AB,CH2,CDX2.m,af488.m
060818G6G4_AB,AB,CH3,NANOG.rb,af647.rb
060818G6G4_AB,AB,CH4,BF,NA
060818G6G4_AB,AB,CH5,GATA6.gt,af568.gt
062818G6G4_AC,AC,CH1,DNA,Hoechst
062818G6G4_AC,AC,CH2,CDX2.m,af488.m
062818G6G4_AC,AC,CH3,NANOG.rb,af647.rb
062818G6G4_AC,AC,CH4,BF,NA
062818G6G4_AC,AC,CH5,GATA6.gt,af568.gt
062818G6G4_AD,AD,CH1,DNA,Hoechst
062818G6G4_AD,AD,CH2,CDX2.m,af488.m
062818G6G4_AD,AD,CH3,NANOG.rb,af647.rb
062818G6G4_AD,AD,CH4,BF,NA
062818G6G4_AD,AD,CH5,GATA6.gt,af568.gt
081418G6NG_AE,AE,CH1,DNA,Hoechst
081418G6NG_AE,AE,CH2,CDX2.m,af488.m
081418G6NG_AE,AE,CH3,NANOG.rb,af647.rb
081418G6NG_AE,AE,CH4,BF,NA
081418G6NG_AE,AE,CH5,GATA6.gt,af568.gt
082118G6NG_AF,AF,CH1,DNA,Hoechst
082118G6NG_AF,AF,CH2,CDX2.m,af488.m
082118G6NG_AF,AF,CH3,NANOG.rb,af647.rb
082118G6NG_AF,AF,CH4,BF,NA
082118G6NG_AF,AF,CH5,GATA6.gt,af568.gt
082118G6NG_AG,AG,CH1,DNA,Hoechst
082118G6NG_AG,AG,CH2,CDX2.m,af488.m
082118G6NG_AG,AG,CH3,NANOG.rb,af647.rb
082118G6NG_AG,AG,CH4,BF,NA
082118G6NG_AG,AG,CH5,GATA6.gt,af568.gt
082318G6NG_AH,AH,CH1,DNA,Hoechst
082318G6NG_AH,AH,CH2,CDX2.m,af488.m
082318G6NG_AH,AH,CH3,NANOG.rb,af647.rb
082318G6NG_AH,AH,CH4,BF,NA
082318G6NG_AH,AH,CH5,GATA6.gt,af568.gt
091918G6NG_AI,AI,CH1,DNA,Hoechst
091918G6NG_AI,AI,CH2,CDX2.m,af488.m
091918G6NG_AI,AI,CH3,NANOG.rb,af647.rb
091918G6NG_AI,AI,CH4,BF,NA
091918G6NG_AI,AI,CH5,GATA6.gt,af568.gt
092118G6NG_AJ,AJ,CH1,DNA,Hoechst
092118G6NG_AJ,AJ,CH2,CDX2.m,af488.m
092118G6NG_AJ,AJ,CH3,NANOG.rb,af647.rb
092118G6NG_AJ,AJ,CH4,BF,NA
092118G6NG_AJ,AJ,CH5,GATA6.gt,af568.gt
102518G6NG_AK,AK,CH1,DNA,Hoechst
102518G6NG_AK,AK,CH2,CDX2.m,af488.m
102518G6NG_AK,AK,CH3,NANOG.rb,af647.rb
102518G6NG_AK,AK,CH4,BF,NA
102518G6NG_AK,AK,CH5,GATA6.gt,af568.gt
102918G6NG_AL,AL,CH1,DNA,Hoechst
102918G6NG_AL,AL,CH2,CDX2.m,af488.m
102918G6NG_AL,AL,CH3,NANOG.rb,af647.rb
102918G6NG_AL,AL,CH4,BF,NA
102918G6NG_AL,AL,CH5,GATA6.gt,af568.gt
102918G6NG_AM,AM,CH1,DNA,Hoechst
102918G6NG_AM,AM,CH2,CDX2.m,af488.m
102918G6NG_AM,AM,CH3,NANOG.rb,af647.rb
102918G6NG_AM,AM,CH4,BF,NA
102918G6NG_AM,AM,CH5,GATA6.gt,af568.gt
103018G6NG_AN,AN,CH1,DNA,Hoechst
103018G6NG_AN,AN,CH2,CDX2.m,af488.m
103018G6NG_AN,AN,CH3,NANOG.rb,af647.rb
103018G6NG_AN,AN,CH4,BF,NA
103018G6NG_AN,AN,CH5,GATA6.gt,af568.gt
121118G6NG_AO,AO,CH1,DNA,Hoechst
121118G6NG_AO,AO,CH2,CDX2.m,af488.m
121118G6NG_AO,AO,CH3,NANOG.rb,af647.rb
121118G6NG_AO,AO,CH4,BF,NA
121118G6NG_AO,AO,CH5,GATA6.gt,af568.gt
121118G6NG_AP,AP,CH1,DNA,Hoechst
121118G6NG_AP,AP,CH2,CDX2.m,af488.m
121118G6NG_AP,AP,CH3,NANOG.rb,af647.rb
121118G6NG_AP,AP,CH4,BF,NA
121118G6NG_AP,AP,CH5,GATA6.gt,af568.gt
